iter	RMSE
0	88.27572734
1	87.71900529
2	87.21574944
3	86.66088389
4	86.16966553
5	85.73093459
6	85.27003876
7	84.80073539
8	84.4531997
9	84.10294656
10	83.69387373
11	83.38821346
12	83.09167232
13	82.83541625
14	82.39078714
15	82.11097309
16	81.96643652
17	81.66211172
18	81.35282966
19	80.96946692
20	80.71512416
21	80.42210451
22	80.14952048
23	79.91918168
24	79.74728989
25	79.5137567
26	79.28091444
27	79.02968755
28	78.84465693
29	78.64964768
30	78.46819874
31	78.27948559
32	78.17862518
33	77.83669944
34	77.63600081
35	77.40370394
36	77.21101013
37	77.0170114
38	76.84801129
39	76.61427482
40	76.53774975
41	76.39515196
42	76.28902224
43	76.23022224
44	76.07082691
45	75.93922755
46	75.85554334
47	75.71899562
48	75.61188602
49	75.56852021
50	75.42884838
51	75.21661982
52	75.13611553
53	75.07034972
54	74.8832619
55	74.75691411
56	74.64968449
57	74.49632763
58	74.3836569
59	74.25290357
60	74.15450281
61	74.10135796
62	74.02424701
63	73.96639842
64	73.89062483
65	73.80423734
66	73.65183584
67	73.5566161
68	73.47908314
69	73.46435992
70	73.40325419
71	73.35211336
72	73.26071239
73	73.19776797
74	73.09936513
75	72.98489964
76	72.9440199
77	72.84410136
78	72.81342167
79	72.77856384
80	72.70787987
81	72.64826229
82	72.56388849
83	72.52175444
84	72.4753835
85	72.41298651
86	72.29352389
87	72.20037452
88	72.14888371
89	72.02108841
90	71.93776891
91	71.89942457
92	71.82981403
93	71.81314968
94	71.76778333
95	71.70073108
96	71.59149518
97	71.49544562
98	71.42711537
99	71.35310267
100	71.30608704
101	71.26484308
102	71.20706217
103	71.13109003
104	71.04851375
105	71.03643714
106	70.95776275
107	70.95231768
108	70.87663649
109	70.85486234
110	70.72287277
111	70.65302689
112	70.63008523
113	70.58720308
114	70.57234862
115	70.50444921
116	70.48066942
117	70.43427273
118	70.34512043
119	70.32862201
120	70.30005675
121	70.29147771
122	70.21594616
123	70.17574871
124	70.11908376
125	70.02318267
126	69.98642174
127	69.95995458
128	69.92003268
129	69.86614825
130	69.78934708
131	69.77626024
132	69.69357958
133	69.62269602
134	69.54992208
135	69.53118123
136	69.48035362
137	69.42983083
138	69.34774557
139	69.29080137
140	69.25585446
141	69.23873248
142	69.16164762
143	69.13204321
144	69.12917825
145	69.05381348
146	69.01651487
147	68.94839501
148	68.92657559
149	68.77240903
150	68.72568494
151	68.69608189
152	68.64573178
153	68.61895778
154	68.59310476
155	68.53429394
156	68.47857739
157	68.41401122
158	68.38114004
159	68.34053883
160	68.31813163
161	68.26347074
162	68.21349364
163	68.18392448
164	68.15719617
165	68.08190405
166	68.04164175
167	68.0085749
168	67.93906904
169	67.88757937
170	67.82746943
171	67.76395248
172	67.69288342
173	67.67765227
174	67.63649629
175	67.57869557
176	67.52352631
177	67.4544856
178	67.41521956
179	67.37652488
180	67.32585375
181	67.26339627
182	67.25138939
183	67.15079348
184	67.11277613
185	67.0388814
186	67.02001768
187	66.8837578
188	66.82100682
189	66.80743128
190	66.75147015
191	66.74104623
192	66.67436047
193	66.63816874
194	66.56984753
195	66.50514709
196	66.47256831
197	66.4521596
198	66.37205588
199	66.34061493
200	66.2185333
201	66.18314824
202	66.15645118
203	66.12426927
204	66.08305464
205	66.05643215
206	65.95632024
207	65.89467516
208	65.78184383
209	65.74105
210	65.71377143
211	65.61955801
212	65.55006714
213	65.47417873
214	65.44728512
215	65.40283588
216	65.38749999
217	65.36709339
218	65.34014382
219	65.29751214
220	65.27057786
221	65.22507853
222	65.21215911
223	65.18945975
224	65.15244284
225	65.10987655
226	65.08553059
227	65.03196345
228	64.97807432
229	64.94579316
230	64.94019327
231	64.90054683
232	64.85824296
233	64.79166741
234	64.77890821
235	64.70011061
236	64.6430514
237	64.58794999
238	64.56918985
239	64.51643231
240	64.49068714
241	64.46163608
242	64.44053245
243	64.41816017
244	64.40185617
245	64.32915863
246	64.25013907
247	64.21621229
248	64.11776114
249	64.05529433
250	64.03016073
251	64.01472654
252	63.98351959
253	63.92784798
254	63.86950458
255	63.81596622
256	63.78386235
257	63.74222215
258	63.67395381
259	63.61555294
260	63.59170072
261	63.58703371
262	63.51408063
263	63.4661245
264	63.39479675
265	63.35170435
266	63.32415007
267	63.29378682
268	63.28356457
269	63.21763551
270	63.19477515
271	63.09829678
272	63.04191252
273	62.95562041
274	62.92455328
275	62.8651293
276	62.84029827
277	62.76396431
278	62.72533984
279	62.6546414
280	62.62050895
281	62.58645617
282	62.55631512
283	62.50432351
284	62.46574837
285	62.42199173
286	62.35032605
287	62.25138278
288	62.1379517
289	62.10450664
290	62.077885
291	62.02216597
292	61.97967517
293	61.95210461
294	61.92386308
295	61.8641578
296	61.77904525
297	61.66408646
298	61.61824333
299	61.56571585
300	61.53396661
301	61.51216201
302	61.45986276
303	61.366717
304	61.32790331
305	61.26973983
306	61.23150194
307	61.20864838
308	61.17887381
309	61.14538485
310	61.09990461
311	61.07025378
312	61.02477488
313	61.00095531
314	60.94824815
315	60.87727432
316	60.81277004
317	60.78015327
318	60.73576105
319	60.70998319
320	60.68332385
321	60.66263495
322	60.63208416
323	60.60362238
324	60.58737749
325	60.48764735
326	60.42374751
327	60.42253961
328	60.36614074
329	60.33492247
330	60.29685283
331	60.2546809
332	60.23446572
333	60.18730999
334	60.18591837
335	60.1599552
336	60.12622797
337	60.09832138
338	60.06346346
339	60.02349566
340	59.92691503
341	59.89288049
342	59.86398824
343	59.82350505
344	59.76609373
345	59.74815046
346	59.68555079
347	59.63582818
348	59.60667735
349	59.55561591
350	59.49761695
351	59.47146196
352	59.44053178
353	59.35189002
354	59.32829004
355	59.26485433
356	59.22531371
357	59.17526275
358	59.12463311
359	59.08251612
360	59.04847901
361	59.0290758
362	58.98174101
363	58.90071751
364	58.86499912
365	58.83523376
366	58.79174173
367	58.76793132
368	58.71368381
369	58.65401262
370	58.60436118
371	58.52924605
372	58.48835933
373	58.43178968
374	58.40964918
375	58.31480536
376	58.26645252
377	58.18103453
378	58.15599283
379	58.13544182
380	58.08574321
381	58.05962544
382	58.0196264
383	58.00395774
384	57.96231844
385	57.92858935
386	57.87403474
387	57.82918823
388	57.77230068
389	57.72468452
390	57.699849
391	57.63700563
392	57.59450245
393	57.57760261
394	57.53123953
395	57.51505623
396	57.50540584
397	57.45860588
398	57.37159509
399	57.32915086
400	57.31890638
401	57.22653942
402	57.2049576
403	57.15572016
404	57.1210576
405	57.03868738
406	56.99768618
407	56.89381132
408	56.83943154
409	56.79519758
410	56.7333024
411	56.68753724
412	56.61198077
413	56.60104539
414	56.54488381
415	56.4680937
416	56.43497515
417	56.38325431
418	56.37810448
419	56.36404268
420	56.36020759
421	56.31664864
422	56.19999115
423	56.16216627
424	56.13405814
425	56.12116966
426	56.09101558
427	56.05222307
428	56.00478286
429	55.96776359
430	55.9534982
431	55.90949597
432	55.85122524
433	55.81791868
434	55.78434161
435	55.73582086
436	55.72394729
437	55.65623188
438	55.57029931
439	55.55565526
440	55.50984385
441	55.48910561
442	55.47463519
443	55.43284497
444	55.41000582
445	55.37349733
446	55.34361221
447	55.31155893
448	55.28502318
449	55.24089729
450	55.22649984
451	55.2033461
452	55.16027543
453	55.14851377
454	55.09538882
455	55.04182281
456	55.04032579
457	55.02576612
458	55.01002158
459	54.97175171
460	54.94694087
461	54.93814163
462	54.91828832
463	54.88991037
464	54.86975017
465	54.78803427
466	54.78420246
467	54.7416344
468	54.68383423
469	54.61665865
470	54.56165785
471	54.51946046
472	54.50812412
473	54.47994272
474	54.46459112
475	54.44208463
476	54.42453791
477	54.38552553
478	54.36407855
479	54.34284536
480	54.32599528
481	54.31082939
482	54.27275887
483	54.25024828
484	54.19175207
485	54.15124244
486	54.13146258
487	54.05886531
488	54.01839921
489	54.00722211
490	53.99649542
491	53.96487016
492	53.95194183
493	53.91110168
494	53.8914565
495	53.84349885
496	53.81754642
497	53.78443471
498	53.75740323
499	53.72077141
500	53.6933478
501	53.67512479
502	53.64279316
503	53.61179413
504	53.56276221
505	53.52635609
506	53.48138876
507	53.44526872
508	53.4078769
509	53.37945876
510	53.31675144
511	53.24818283
512	53.23478797
513	53.21475926
514	53.20298356
515	53.16630857
516	53.1293997
517	53.10161167
518	53.04448764
519	52.96087479
520	52.94950923
521	52.9289726
522	52.90187769
523	52.86767783
524	52.79458943
525	52.75141536
526	52.73570563
527	52.6971152
528	52.65736386
529	52.63454422
530	52.59869208
531	52.57973691
532	52.54412918
533	52.52605441
534	52.49834953
535	52.48690724
536	52.47780767
537	52.4136913
538	52.35307384
539	52.33057671
540	52.30944206
541	52.29353968
542	52.27106045
543	52.23244427
544	52.2088401
545	52.1701687
546	52.13598536
547	52.11179977
548	52.090849
549	52.07249964
550	52.04719501
551	52.04614969
552	52.04084129
553	52.03465688
554	51.97167578
555	51.95181356
556	51.93190662
557	51.90850623
558	51.89823001
559	51.83856849
560	51.83560512
561	51.78818535
562	51.74584139
563	51.7130636
564	51.6869113
565	51.65818609
566	51.64251179
567	51.60899661
568	51.59256147
569	51.58923754
570	51.56166061
571	51.52409086
572	51.47655728
573	51.46184073
574	51.43746725
575	51.39522638
576	51.34251685
577	51.33109317
578	51.27299194
579	51.25371521
580	51.20221973
581	51.17360331
582	51.12923275
583	51.09555918
